symptom,specialty
Frequent headaches and light sensitivity,Neurology
Blood in stool,Gastroenterology
Bloating and excessive gas,Gastroenterology
Trouble concentrating and remembering,Psychiatry
Unexplained weight gain,Endocrinology
Pain radiating to left arm,Cardiology
Persistent dry cough,Pulmonology
Difficulty walking after a fall,Orthopedics
Menstrual irregularities,Endocrinology
Numbness in hands or feet,Neurology
Cracking sounds in joints,Orthopedics
Shortness of breath and chest discomfort,Cardiology
Loss of appetite and weight loss,Gastroenterology
Cold intolerance and weight gain,Endocrinology
Excessive hunger despite eating,Endocrinology
Lack of interest in daily activities,Psychiatry
Noisy breathing and coughing,Pulmonology
Seizures without warning,Neurology
"Dry, flaky scalp",Dermatology
Discolored spots on the skin,Dermatology
Persistent acne breakouts,Dermatology
Missed periods and nausea,OB/GYN
Hair thinning and brittle nails,Endocrinology
Coughing up blood,Pulmonology
Heat intolerance and sweating,Endocrinology
Painful urination and burning sensation,Urology
Sudden shortness of breath,Pulmonology
Palpitations and dizziness,Cardiology
Itching and peeling between toes,Dermatology
Bone pain at night,Orthopedics
Tightness in the chest after exercise,Cardiology
Limited range of motion in knee,Orthopedics
Abdominal cramps after meals,Gastroenterology
Weakness on one side of the body,Neurology
Tremors in hands,Neurology
Irregular heartbeat,Cardiology
Paranoia and hallucinations,Psychiatry
Shortness of breath after walking,Pulmonology
Wheezing and breathlessness,Pulmonology
Frequent respiratory infections,Pulmonology
Recurrent urinary tract infections,Urology
Swelling in the ankle after injury,Orthopedics
Dry skin and constipation,Endocrinology
Sharp shooting pain down the spine,Neurology
Feeling worthless and hopeless,Psychiatry
"Red, itchy patches on skin",Dermatology
Irregular menstrual cycles,OB/GYN
Anxiety in social situations,Psychiatry
Difficulty starting urination,Urology
Pelvic pain and cloudy urine,Urology
Blood in urine,Urology
Back pain during pregnancy,OB/GYN
Back pain after lifting heavy objects,Orthopedics
Leakage of urine during sneezing,Urology
Lower abdominal cramps,OB/GYN
Pain during intercourse,OB/GYN
Obsessive thoughts and compulsive behaviors,Psychiatry
Breathing difficulty in cold air,Pulmonology
Scaly skin on elbows,Dermatology
Sudden mood changes,Psychiatry
Change in bowel habits,Gastroenterology
Sudden appearance of moles,Dermatology
Pain in shoulder with movement,Orthopedics
Fatigue with mild activity,Cardiology
Nausea and vomiting,Gastroenterology
Weak urine stream,Urology
Swelling in the legs,Cardiology
Rash that doesn’t go away,Dermatology
Chronic constipation,Gastroenterology
Frequent nighttime urination,Urology
Difficulty speaking or slurred speech,Neurology
Persistent heartburn,Gastroenterology
Joint pain and stiffness in the morning,Orthopedics
Difficulty swallowing,Gastroenterology
Unusual vaginal discharge,OB/GYN
Frequent urination and pelvic pressure,OB/GYN
Breast tenderness and mood swings,OB/GYN
Urgent need to urinate with little output,Urology
Numbness in fingers after repetitive motion,Orthopedics
Irritability and anger outbursts,Psychiatry
Shortness of breath when lying flat,Cardiology
Fatigue and increased thirst,Endocrinology
Mood swings and anxiety,Endocrinology
Loss of balance and coordination,Neurology
Heavy bleeding during periods,OB/GYN
Painful blisters on hands,Dermatology
Hives and swelling after eating certain foods,Dermatology
Chronic cough with mucus,Pulmonology
Swelling in legs during pregnancy,OB/GYN
Rapid heartbeat at rest,Cardiology
Upper abdominal pain after eating,Gastroenterology
Frequent urination and blurry vision,Endocrinology
Discomfort in lower abdomen,Urology
Sleep disturbances and nightmares,Psychiatry
Visual disturbances and dizziness,Neurology
"Chest tightness, especially at night",Pulmonology
Hip pain when climbing stairs,Orthopedics
Sudden confusion and disorientation,Neurology
Persistent sadness and crying spells,Psychiatry
Chest pain on exertion,Cardiology
